user_id,clinic_id,role,event_name,timestamp
U00000,C021,clinician,signup_completed,2025-12-30 14:49:10.556643+00:00
U00000,C021,clinician,email_verified,2025-12-30 14:52:10.556643+00:00
U00000,C021,clinician,workspace_created,2025-12-30 15:08:10.556643+00:00
U00000,C021,clinician,consult_created,2025-12-30 21:49:10.556643+00:00
U00000,C021,clinician,consult_completed,2025-12-30 22:22:10.556643+00:00
U00000,C021,clinician,note_finalized,2025-12-30 23:08:10.556643+00:00
U00000,C021,clinician,followup_due,2026-01-03 14:49:10.556643+00:00
U00000,C021,clinician,followup_booked,2026-01-04 14:49:10.556643+00:00
U00001,C036,admin,signup_completed,2026-01-10 16:49:10.556643+00:00
U00001,C036,admin,email_verified,2026-01-10 16:54:10.556643+00:00
U00001,C036,admin,workspace_created,2026-01-10 17:27:10.556643+00:00
U00001,C036,admin,consult_created,2026-01-12 06:49:10.556643+00:00
U00001,C036,admin,consult_completed,2026-01-12 07:02:10.556643+00:00
U00001,C036,admin,note_finalized,2026-01-12 07:54:10.556643+00:00
U00001,C036,admin,followup_due,2026-01-16 16:49:10.556643+00:00
U00001,C036,admin,followup_booked,2026-01-18 16:49:10.556643+00:00
U00002,C010,clinician,signup_completed,2025-12-25 01:49:10.556643+00:00
U00002,C010,clinician,email_verified,2025-12-25 02:08:10.556643+00:00
U00002,C010,clinician,workspace_created,2025-12-25 02:22:10.556643+00:00
U00002,C010,clinician,template_selected,2025-12-25 08:49:10.556643+00:00
U00003,C005,clinician,signup_completed,2025-12-24 04:49:10.556643+00:00
U00003,C005,clinician,email_verified,2025-12-24 05:06:10.556643+00:00
U00003,C005,clinician,workspace_created,2025-12-24 06:07:10.556643+00:00
U00003,C005,clinician,consult_created,2025-12-25 01:49:10.556643+00:00
U00003,C005,clinician,consult_completed,2025-12-25 02:28:10.556643+00:00
U00003,C005,clinician,note_finalized,2025-12-25 03:02:10.556643+00:00
U00004,C012,clinician,signup_completed,2026-01-09 16:49:10.556643+00:00
U00004,C012,clinician,email_verified,2026-01-09 17:00:10.556643+00:00
U00004,C012,clinician,workspace_created,2026-01-09 18:06:10.556643+00:00
U00004,C012,clinician,consult_created,2026-01-10 14:49:10.556643+00:00
U00004,C012,clinician,consult_completed,2026-01-10 15:45:10.556643+00:00
U00004,C012,clinician,note_finalized,2026-01-10 16:21:10.556643+00:00
U00004,C012,clinician,ehr_sync_connected,2026-01-11 23:49:10.556643+00:00
U00005,C011,admin,signup_completed,2026-01-07 19:49:10.556643+00:00
U00005,C011,admin,email_verified,2026-01-07 20:04:10.556643+00:00
U00005,C011,admin,workspace_created,2026-01-07 20:04:10.556643+00:00
U00005,C011,admin,consult_created,2026-01-08 00:49:10.556643+00:00
U00005,C011,admin,consult_completed,2026-01-08 01:47:10.556643+00:00
U00005,C011,admin,note_finalized,2026-01-08 02:45:10.556643+00:00
U00006,C045,admin,signup_completed,2025-12-23 19:49:10.556643+00:00
U00006,C045,admin,email_verified,2025-12-23 20:09:10.556643+00:00
U00006,C045,admin,workspace_created,2025-12-23 20:57:10.556643+00:00
U00006,C045,admin,template_selected,2025-12-24 04:49:10.556643+00:00
U00007,C004,admin,signup_completed,2025-12-24 13:49:10.556643+00:00
U00007,C004,admin,email_verified,2025-12-24 14:17:10.556643+00:00
U00007,C004,admin,workspace_created,2025-12-24 14:56:10.556643+00:00
